"","GISJOIN_T","X.1","X","whites","blacks","asians","latino","native_americans","others","tot","E","H","Estd","Estd_cls","H_cls","biv_cls"
"1","G2601630500100",2,2,1379,2735,42,59,5,108,4328,0.857911098285497,0.114035072452358,0.478809300589387,"M","L","ML"
"2","G2601630500200",3,3,780,2403,58,33,12,82,3368,0.805447669589895,0.133311182614272,0.449528903529058,"M","L","ML"
"3","G2601630500300",4,4,660,3659,117,45,13,112,4606,0.706703654509627,0.150838763340217,0.394418819404424,"M","L","ML"
"4","G2601630500400",5,5,172,4228,27,26,6,58,4517,0.311343157243289,0.202718063037016,0.173763924561495,"L","L","LL"
"5","G2601630500500",6,6,141,3678,14,24,16,34,3907,0.292001808985645,0.212694477075544,0.162969312567076,"L","L","LL"
"6","G2601630500600",7,7,426,5494,76,49,7,71,6123,0.435241956182016,0.201235608260747,0.242913160866136,"L","L","LL"
"7","G2601630500700",8,8,1169,3394,23,63,3,118,4770,0.765804993260111,0.136359295422055,0.427403904604474,"M","L","ML"
"8","G2601630500800",9,9,858,1549,39,50,6,95,2597,0.948261856963371,0.137826494731098,0.529235019124476,"M","L","ML"
"9","G2601630500900",10,10,485,3975,64,48,3,72,4647,0.545023011788883,0.119903061921913,0.304183134594341,"L","L","LL"
"10","G2601630501000",11,11,243,3707,40,28,6,69,4093,0.415098480183202,0.160700501285966,0.231670872855517,"L","L","LL"
"11","G2601630501100",12,12,208,4878,12,38,7,48,5191,0.289595306164241,0.172580077739488,0.161626217769625,"L","L","LL"
"12","G2601630501200",13,13,115,3008,5,21,4,52,3205,0.29717142332775,0.177343181901834,0.165854529266577,"L","L","LL"
"13","G2601630501300",14,14,251,5339,9,30,13,65,5707,0.302346188812391,0.194836152819486,0.168742620873465,"L","L","LL"
"14","G2601630501400",15,15,721,3612,14,46,10,86,4489,0.62293615467623,0.113100390218617,0.347667287587775,"M","L","ML"
"15","G2601630501500",16,16,1917,2106,93,55,9,88,4268,0.940518802638831,0.154446758007692,0.524913538223987,"M","L","ML"
"16","G2601630501600",17,17,1166,826,15,46,9,48,2110,0.922806220915356,0.163498175450568,0.515027958140458,"M","L","ML"
"17","G2601630501700",18,18,1566,1099,22,55,22,76,2840,0.944218272153363,0.121157760713887,0.526978251472649,"M","L","ML"
"18","G2601630501800",19,19,1690,3352,48,71,12,138,5311,0.863662926577095,0.120328107264318,0.482019457081026,"M","L","ML"
"19","G2601630501900",20,20,342,3611,12,31,4,64,4064,0.439877549586983,0.130064965359952,0.245500334805818,"L","L","LL"
"20","G2601630502000",21,21,144,3187,2,32,7,71,3443,0.344731995795385,0.194391973423568,0.192398590165624,"L","L","LL"
"21","G2601630503100",22,22,528,2715,46,23,13,55,3380,0.646832138857012,0.13509030000272,0.36100389029097,"M","L","ML"
"22","G2601630503200",23,23,604,4231,115,42,9,102,5103,0.622318406121794,0.16996122081416,0.347322515555008,"M","L","ML"
"23","G2601630503300",24,24,491,4926,245,20,14,76,5772,0.570250099232278,0.160472857910906,0.318262640173438,"L","L","LL"
"24","G2601630503400",25,25,300,1884,528,26,9,90,2837,0.993076559875866,0.175739376950319,0.554246581045677,"M","L","ML"
"25","G2601630503500",26,26,301,5669,310,47,15,93,6435,0.51229827492182,0.202381485952327,0.28591911119774,"L","L","LL"
"26","G2601630503600",27,27,229,2522,418,24,8,101,3302,0.809573106385665,0.260753129501086,0.451831353643943,"M","L","ML"
"27","G2601630503700",28,28,118,2189,320,53,8,86,2774,0.770520226308084,0.225784363030887,0.430035526275214,"M","L","ML"
"28","G2601630503900",29,29,132,3965,31,40,6,62,4236,0.321102770801434,0.257508582866354,0.17921086859933,"L","L","LL"
"29","G2601630504000",30,30,79,2378,1,24,3,45,2530,0.293419967144039,0.185907062497522,0.163760801705406,"L","L","LL"
"30","G2601630504100",31,31,108,2902,2,15,3,39,3069,0.263727768589432,0.172157883855409,0.14718927016641,"L","L","LL"
"31","G2601630504200",32,32,52,4089,1,18,4,44,4208,0.161783456195999,0.243620364817441,0.0902930661031751,"L","L","LL"
"32","G2601630504300",33,33,104,3997,7,14,1,59,4182,0.227000864415097,0.166880180669528,0.126691594666384,"L","L","LL"
"33","G2601630504400",34,34,94,3621,2,21,7,52,3797,0.239917186948236,0.15678792780511,0.133900331528093,"L","L","LL"
"34","G2601630504500",35,35,30,472,0,1,0,3,506,0.275102203848234,0.269376518952828,0.153537463355367,"L","L","LL"
"35","G2601630504600",36,36,38,1532,0,23,4,32,1629,0.297510477828278,0.305182918050442,0.166043759186301,"L","L","LL"
"36","G2601630504700",37,37,52,3321,2,13,3,41,3432,0.179801118775857,0.256870239368181,0.100348915054609,"L","L","LL"
"37","G2601630504800",38,38,111,1933,0,13,5,28,2090,0.331938215700747,0.195461841721557,0.185258245541047,"L","L","LL"
"38","G2601630504900",39,39,256,3755,19,17,13,45,4105,0.369866958429544,0.158956241901299,0.206426679909717,"L","L","LL"
"39","G2601630505000",40,40,119,1790,22,15,1,38,1985,0.428328568106387,0.200663088891991,0.239054725515654,"L","L","LL"
"40","G2601630505100",41,41,391,3938,3,24,5,78,4439,0.432053576377506,0.148235684956185,0.241133692215757,"L","L","LL"
"41","G2601630505200",42,42,191,4207,5,23,10,59,4495,0.301203432318146,0.139320218425936,0.168104836330467,"L","L","LL"
"42","G2601630505300",43,43,72,3064,6,10,6,31,3189,0.210739989360202,0.222758042995415,0.117616227501226,"L","L","LL"
"43","G2601630506100",44,44,334,1891,78,15,2,82,2402,0.726840230523996,0.123969748261231,0.4056572564604,"M","L","ML"
"44","G2601630506200",45,45,165,2668,9,19,4,47,2912,0.369184805714451,0.133290698433645,0.206045963230493,"L","L","LL"
"45","G2601630506300",46,46,197,3055,81,26,10,61,3430,0.48136649774648,0.23013935482502,0.268655757658068,"L","L","LL"
"46","G2601630506400",47,47,744,3276,24,99,18,41,4202,0.686958047250752,0.132952779925094,0.383398586165539,"M","L","ML"
"47","G2601630506500",48,48,116,2904,1,23,9,46,3099,0.302316712511013,0.261097172334707,0.168726169836435,"L","L","LL"
"48","G2601630506600",49,49,206,3924,8,18,6,52,4214,0.312708327801068,0.185979516980478,0.174525840756847,"L","L","LL"
"49","G2601630506700",50,50,160,1367,16,0,10,26,1579,0.503003869408659,0.190033110776876,0.280731804713368,"L","L","LL"
"50","G2601630506800",51,51,349,4077,10,34,6,52,4528,0.402325761846085,0.118475343182494,0.224542283021627,"L","L","LL"
"51","G2601630506900",52,52,242,4322,10,37,4,72,4687,0.349299329553989,0.145322895144668,0.194947667671308,"L","L","LL"
"52","G2601630507000",53,53,24,3200,8,19,2,57,3310,0.187001696282088,0.269043117618518,0.104367633878142,"L","L","LL"
"53","G2601630507100",54,54,38,3345,5,9,4,45,3446,0.168093917223414,0.271686409220887,0.093815001461013,"L","L","LL"
"54","G2601630507200",55,55,27,1969,1,21,1,24,2043,0.199455895677584,0.326807246062777,0.111318454905957,"L","L","LL"
"55","G2601630507300",56,56,70,3945,4,31,10,49,4109,0.21956621893115,0.241283506531019,0.122542240017152,"L","L","LL"
"56","G2601630507400",57,57,154,3912,7,36,4,56,4169,0.297873071643721,0.224979156637721,0.166246126647821,"L","L","LL"
"57","G2601630507500",58,58,177,2922,7,17,2,40,3165,0.336516577922576,0.168634136009171,0.187813478149251,"L","L","LL"
"58","G2601630507600",59,59,400,2334,10,23,16,118,2901,0.664988987787029,0.222807155967017,0.371137420623498,"M","L","ML"
"59","G2601630507700",60,60,60,1522,11,6,3,27,1629,0.319015966935182,0.222675746578897,0.178046201186046,"L","L","LL"
"60","G2601630507800",61,61,161,1213,1,15,8,29,1427,0.54549686854116,0.214110852781019,0.30444759908325,"L","L","LL"
"61","G2601630507900",62,62,1305,3074,43,82,19,411,4934,0.984415329725269,0.159467855464222,0.549412656459623,"M","L","ML"
"62","G2601630508000",63,63,810,1369,6,21,7,313,2526,1.02593645052732,0.238976765650877,0.572586035205565,"M","L","ML"
"63","G2601630510200",64,64,370,2297,14,28,3,149,2861,0.673209413003128,0.160281937806128,0.375725327291373,"M","L","ML"
"64","G2601630510300",65,65,144,1519,1,7,0,40,1711,0.428625640467373,0.184263688482851,0.239220524757175,"L","L","LL"
"65","G2601630510400",66,66,43,2300,3,34,19,28,2427,0.279908572444154,0.341534030176044,0.156219948743872,"L","M","LM"
"66","G2601630510500",67,67,940,2007,1167,40,35,542,4731,1.35498958800531,0.317746826154073,0.75623408793206,"H","L","HL"
"67","G2601630510600",68,68,1572,1374,503,62,4,425,3940,1.3092869538625,0.256155263733389,0.730726962155575,"H","L","HL"
"68","G2601630510700",69,69,543,806,113,38,5,465,1970,1.31692205120977,0.310788015079132,0.734988191119839,"H","L","HL"
"69","G2601630510800",70,70,135,1602,5,27,5,63,1837,0.521070044486298,0.389595987125611,0.290814729005334,"L","M","LM"
"70","G2601630510900",71,71,74,1992,27,20,3,35,2151,0.361670557183876,0.349472633014809,0.201852181275032,"L","M","LM"
"71","G2601630511200",73,73,11,1996,1,12,1,20,2041,0.132946419456268,0.289744944731262,0.0741988094604825,"L","L","LL"
"72","G2601630511500",74,74,49,1905,17,25,8,43,2047,0.352652868421588,0.277002942766147,0.196819313349867,"L","L","LL"
"73","G2601630511600",75,75,91,3012,4,34,10,66,3217,0.316591286298853,0.202635290372419,0.176692961156918,"L","L","LL"
"74","G2601630511700",76,76,7,748,0,3,0,3,761,0.10371289491779,0.43732363250716,0.0578832687640114,"L","M","LM"
"75","G2601630512100",77,77,110,4905,3,36,43,85,5182,0.279798311079319,0.247028357989515,0.15615841070446,"L","L","LL"
"76","G2601630512200",78,78,43,1614,2,14,4,21,1698,0.257401419522248,0.269116745974775,0.143658467524742,"L","L","LL"
"77","G2601630512300",79,79,55,1875,9,13,4,25,1981,0.276757276074899,0.252488684480244,0.154461176752778,"L","L","LL"
"78","G2601630512400",80,80,54,2413,1,40,1,36,2545,0.263920626502639,0.229679166535895,0.147296906217186,"L","L","LL"
"79","G2601630512600",81,81,139,2839,2,9,3,36,3028,0.283546376730556,0.308478501306707,0.158250245973426,"L","L","LL"
"80","G2601630512900",82,82,207,2672,7,52,9,51,2998,0.45837129384507,0.247200857995547,0.255821890000978,"L","L","LL"
"81","G2601630513200",83,83,351,2324,11,34,6,67,2793,0.591762762953669,0.22105601559874,0.330269086401769,"M","L","ML"
"82","G2601630513300",84,84,441,2030,20,18,3,62,2574,0.659570633627396,0.288738987758535,0.368113379588589,"M","L","ML"
"83","G2601630513400",85,85,50,2697,18,9,4,43,2821,0.238112456469306,0.20962357725675,0.132893092269741,"L","L","LL"
"84","G2601630513500",86,86,66,588,6,7,5,9,681,0.534976701222803,0.229301403149368,0.298576181909778,"L","L","LL"
"85","G2601630513600",87,87,148,2496,3,9,7,26,2689,0.315737523350901,0.266153166528196,0.176216466983111,"L","L","LL"
"86","G2601630513900",88,88,54,4054,2,24,28,42,4204,0.203499465878104,0.217368442258339,0.113575214404073,"L","L","LL"
"87","G2601630514000",89,89,31,279,0,1,1,0,312,0.366202897850506,0.0465551177180017,0.204381728764228,"L","L","LL"
"88","G2601630514100",90,90,48,5028,10,17,6,42,5151,0.145224847374104,0.226409141041144,0.0810515305587705,"L","L","LL"
"89","G2601630514300",91,91,38,4037,2,21,5,47,4150,0.159103935309375,0.191355664241509,0.0887975970222846,"L","L","LL"
"90","G2601630514500",92,92,8,1759,0,17,11,17,1812,0.171352908222408,0.268769832900962,0.0956338789693863,"L","L","LL"
"91","G2601630514600",93,93,19,1786,0,15,3,25,1848,0.187754639629176,0.16066244830789,0.104787859561343,"L","L","LL"
"92","G2601630514700",94,94,17,1664,1,8,3,13,1706,0.148064742310922,0.268927622669081,0.0826365061012975,"L","L","LL"
"93","G2601630514800",95,95,24,1203,0,9,10,15,1261,0.246669774990781,0.328111875722419,0.13766902267136,"L","L","LL"
"94","G2601630514900",96,96,17,2164,2,11,5,26,2225,0.162529819027839,0.155414987525584,0.0907096191308881,"L","L","LL"
"95","G2601630515000",97,97,17,2392,1,18,6,21,2455,0.154410740127873,0.279956132170275,0.086178274919009,"L","L","LL"
"96","G2601630515100",98,98,61,2087,6,12,6,13,2185,0.235194234367273,0.322044337500081,0.13126440150396,"L","L","LL"
"97","G2601630515200",99,99,222,3105,6,17,3,25,3378,0.336801968167327,0.303390079687306,0.18797275747756,"L","L","LL"
"98","G2601630515300",100,100,359,2760,26,46,5,55,3251,0.560162241286001,0.143138925624201,0.312632499454481,"L","L","LL"
"99","G2601630515400",101,101,522,1019,9,23,5,49,1627,0.870017231336627,0.186043394890028,0.485565862091667,"M","L","ML"
"100","G2601630515600",102,102,45,2177,1,15,4,24,2266,0.212305157944246,0.224407758851939,0.118489764720325,"L","L","LL"
"101","G2601630515700",103,103,904,2855,21,42,10,72,3904,0.733389610949739,0.0996769868032406,0.409312535273335,"M","L","ML"
"102","G2601630515800",104,104,9,61,0,0,0,0,70,0.383662000469388,0,0.214125839465875,"L","L","LL"
"103","G2601630516100",105,105,20,1360,0,6,5,9,1400,0.164789098376509,0.400478311691719,0.0919705469437285,"L","M","LM"
"104","G2601630516200",106,106,54,1547,1,8,2,13,1625,0.23753878295303,0.232365005611539,0.132572918984136,"L","L","LL"
"105","G2601630516300",107,107,103,1327,0,10,2,13,1455,0.356877557416897,0.217587649766028,0.199177157172023,"L","L","LL"
"106","G2601630516400",108,108,162,1513,4,12,5,26,1722,0.465021603650804,0.23704165373269,0.259533498573416,"L","L","LL"
"107","G2601630516500",109,109,359,1028,37,38,1,37,1500,0.881813883372901,0.071639958260926,0.492149698950838,"M","L","ML"
"108","G2601630516600",110,110,10,2220,2,23,1,27,2283,0.159352172222836,0.0517950806060777,0.088936140681589,"L","L","LL"
"109","G2601630516700",111,111,40,2779,1,20,5,30,2875,0.188296244395941,0.0152911219822063,0.105090134937066,"L","L","LL"
"110","G2601630516800",112,112,30,1744,0,21,7,30,1832,0.254029471364472,0.339950998605133,0.141776547425708,"L","M","LM"
"111","G2601630516900",113,113,130,1949,3,12,11,39,2144,0.394792006443136,0.0722151533585427,0.220337614073403,"L","L","LL"
"112","G2601630517000",114,114,575,1523,62,33,7,58,2258,0.886376901939866,0.0416369578916297,0.494696368102212,"M","L","ML"
"113","G2601630517100",115,115,162,1119,10,13,1,28,1333,0.571439437380106,0.0372272937799093,0.318926422432303,"L","L","LL"
"114","G2601630517200",116,116,592,2246,14,36,2,31,2921,0.658558231579557,0.104323280835482,0.367548347247348,"M","L","ML"
"115","G2601630517400",117,117,77,380,0,4,2,8,471,0.602193343155408,0.183506067905145,0.336090504053455,"M","L","ML"
"116","G2601630517500",118,118,231,2229,105,24,7,41,2637,0.606990011260078,0.311736525694516,0.338767575494711,"M","L","ML"
"117","G2601630517600",119,119,17,1690,9,16,7,15,1754,0.213416529237334,0.146453659049372,0.119110032849041,"L","L","LL"
"118","G2601630517700",120,120,26,100,2,3,0,2,133,0.745266765999109,0.430935112052096,0.415941301719584,"M","M","MM"
"119","G2601630517800",121,121,40,1696,5,6,0,17,1764,0.204352429353706,0.084646562669147,0.114051262383866,"L","L","LL"
"120","G2601630518000",123,123,529,1263,48,31,4,44,1919,0.888863173349434,0.360350199471354,0.496083982596383,"M","M","MM"
"121","G2601630518100",124,124,33,226,3,1,3,8,274,0.63629283109837,0.501915322021611,0.355121790634378,"M","M","MM"
"122","G2601630518400",125,125,272,1141,14,16,6,66,1515,0.771615197689541,0.304471794499896,0.430646641438974,"M","L","ML"
"123","G2601630518500",126,126,324,1732,2,11,2,38,2109,0.562495406998783,0.170912414891787,0.31393466403229,"L","L","LL"
"124","G2601630518600",127,127,24,1457,0,7,6,21,1515,0.209266689160822,0.274378071173503,0.116793963003851,"L","L","LL"
"125","G2601630518800",128,128,57,1743,2,9,2,14,1827,0.23150875936605,0.392000119411875,0.129207498741888,"L","M","LM"
"126","G2601630520100",129,129,95,78,3,5,1,6,188,1.01019102438642,0.170268468585752,0.563798345556754,"M","L","ML"
"127","G2601630520200",130,130,855,672,752,73,3,55,2410,1.28767838431027,0.14470281815687,0.7186669898639,"H","L","HL"
"128","G2601630520300",131,131,545,1304,221,65,5,71,2211,1.11467965588923,0.157736304785883,0.622114561152264,"M","L","ML"
"129","G2601630520400",132,132,411,1077,126,38,10,62,1724,1.06046890388976,0.165602658167566,0.591858964388028,"M","L","ML"
"130","G2601630520500",133,133,66,1716,9,28,5,14,1838,0.326591546009392,0.303121509562534,0.182274212369642,"L","L","LL"
"131","G2601630520600",134,134,401,1377,21,42,33,39,1913,0.846939970492613,0.151567197965009,0.472686197582927,"M","L","ML"
"132","G2601630520700",135,135,350,1447,13,49,8,52,1919,0.771337606242686,0.134344692952938,0.430491714702645,"M","L","ML"
"133","G2601630520800",136,136,348,825,57,39,3,29,1301,0.982542591434207,0.0405932902657879,0.548367461318631,"M","L","ML"
"134","G2601630520900",137,137,5,40,1,0,1,2,49,0.687970051419854,0.0458800822104374,0.383963396446429,"M","L","ML"
"135","G2601630521100",138,138,273,394,5,1285,23,32,2012,1.00856164337908,0.257573465886874,0.562888970701853,"M","L","ML"
"136","G2601630521300",139,139,109,749,0,85,1,11,955,0.712188175433785,0.351154416609163,0.397479788813739,"M","M","MM"
"137","G2601630521400",140,140,475,435,4,305,9,25,1253,1.2108400557999,0.293291093862181,0.675782702195827,"H","L","HL"
"138","G2601630521500",141,141,386,1307,3,132,7,61,1896,0.907454927685406,0.374751418558896,0.506460238257519,"M","M","MM"
"139","G2601630521800",142,142,3,201,0,0,0,1,205,0.107106938231684,0.225401553570767,0.0597775204044706,"L","L","LL"
"140","G2601630521900",143,143,635,2384,21,60,10,79,3189,0.756355969709705,0.252889894840502,0.42213030415046,"M","L","ML"
"141","G2601630522000",144,144,112,1484,2,48,8,24,1678,0.485256973116013,0.315282577611701,0.27082707330414,"L","L","LL"
"142","G2601630522100",145,145,19,1799,0,34,1,18,1871,0.205875827631518,0.278822807316102,0.114901487151183,"L","L","LL"
"143","G2601630522200",146,146,50,1260,0,20,4,30,1364,0.357422208954587,0.276467458501775,0.199481132982975,"L","L","LL"
"144","G2601630522300",147,147,51,2549,2,28,5,27,2662,0.228975640722911,0.289415564731643,0.127793738308837,"L","L","LL"
"145","G2601630522400",148,148,50,1450,9,48,1,18,1576,0.377725966493749,0.212300877993039,0.210812875824502,"L","L","LL"
"146","G2601630523100",149,149,472,207,18,1205,11,43,1956,1.03537719550306,0.279515679221029,0.577855015299083,"M","L","ML"
"147","G2601630523200",150,150,1089,263,16,3200,24,83,4675,0.878825522922987,0.0873146010781999,0.490481863227776,"M","L","ML"
"148","G2601630523300",151,151,679,136,20,3034,9,55,3933,0.720273219904561,0.0717798799851986,0.401992138049019,"M","L","ML"
"149","G2601630523400",152,152,659,359,14,1775,20,59,2886,1.0352992705639,0.0970123290168197,0.57781152456247,"M","L","ML"
"150","G2601630523500",153,153,389,209,4,465,19,27,1113,1.22604100863664,0.305941933085522,0.684266515507719,"H","L","HL"
"151","G2601630523600",154,154,224,696,0,212,2,26,1160,1.03077427221383,0.343051722178886,0.575286074898168,"M","M","MM"
"152","G2601630523700",155,155,834,399,0,605,12,41,1891,1.1691271635568,0.209248961171257,0.652502293770766,"M","L","ML"
"153","G2601630523800",156,156,1706,422,26,3239,39,111,5543,1.01103011652995,0.126466680418571,0.564266651798709,"M","L","ML"
"154","G2601630524000",157,157,1062,175,24,2124,19,53,3457,0.94003263956365,0.0837799290300721,0.524642205445492,"M","L","ML"
"155","G2601630524100",158,158,1446,183,25,2957,60,156,4827,0.978088747657392,0.0824136829591075,0.545881723777792,"M","L","ML"
"156","G2601630524200",159,159,1970,282,31,3261,49,194,5787,1.01952248009978,0.0766687519250745,0.56900633015157,"M","L","ML"
"157","G2601630524300",160,160,1326,183,4,1588,52,83,3236,1.04597688608123,0.102144942476955,0.583770815248916,"M","L","ML"
"158","G2601630524500",161,161,803,255,24,479,3,32,1596,1.15314531237164,0.296302494416839,0.643582652792372,"M","L","ML"
"159","G2601630524700",162,162,31,5123,2,76,6,44,5282,0.171395212794558,0.259060548336242,0.0956574896006554,"L","L","LL"
"160","G2601630524800",163,163,41,3494,10,36,12,44,3637,0.223256453888848,0.292730178512166,0.124601799361515,"L","L","LL"
"161","G2601630525100",164,164,11,1889,3,30,3,20,1956,0.193604342739913,0.22373755091243,0.108052641029615,"L","L","LL"
"162","G2601630525200",165,165,22,1810,2,17,2,39,1892,0.231025215439254,0.343617521559346,0.128937627737939,"L","M","LM"
"163","G2601630525300",166,166,4,823,4,1,0,10,842,0.133785763676854,0.401993032986138,0.0746672563893261,"L","M","LM"
"164","G2601630525400",167,167,378,2131,81,539,8,42,3179,0.987933974281009,0.382420685750095,0.551376449377238,"M","M","MM"
"165","G2601630525500",168,168,172,1186,26,303,1,32,1720,0.934290463810522,0.319536366785479,0.521437436138146,"M","L","ML"
"166","G2601630525600",169,169,751,303,30,1180,7,49,2320,1.13003305162271,0.162883716400739,0.630683454464769,"M","L","ML"
"167","G2601630525700",170,170,1950,338,96,2845,28,138,5395,1.0715948025499,0.0914118270118984,0.598068446660185,"M","L","ML"
"168","G2601630525800",171,171,950,331,23,1152,13,99,2568,1.1860620968511,0.156590233045901,0.661953860002252,"H","L","HL"
"169","G2601630526000",172,172,1453,290,18,1316,26,298,3401,1.21898583273367,0.129616676590355,0.68032894686408,"H","L","HL"
"170","G2601630526100",173,173,1624,178,29,540,11,432,2814,1.16515802226664,0.0843026462328236,0.650287073838448,"M","L","ML"
"171","G2601630526200",174,174,1511,534,15,971,27,491,3549,1.33701201377485,0.115649522243563,0.746200612714424,"H","L","HL"
"172","G2601630526300",175,175,1245,1059,51,2236,30,191,4812,1.24699633769609,0.147576308867315,0.695961907338674,"H","L","HL"
"173","G2601630526400",176,176,364,886,17,860,12,31,2170,1.15944364893348,0.215213445217857,0.647097821357129,"M","L","ML"
"174","G2601630526500",177,177,65,3412,0,23,12,45,3557,0.220143627295831,0.228715547229762,0.122864497761341,"L","L","LL"
"175","G2601630530100",178,178,28,4018,0,32,13,81,4172,0.201675290793187,0.228912478508648,0.11255712290449,"L","L","LL"
"176","G2601630530200",179,179,590,4431,44,85,6,72,5228,0.560361958096369,0.511560598872831,0.312743963528648,"L","M","LM"
"177","G2601630530300",180,180,25,2617,12,43,17,25,2739,0.249819371969892,0.329708820561778,0.139426846214756,"L","L","LL"
"178","G2601630530400",181,181,9,2187,0,29,4,16,2245,0.150318829358519,0.177209742893415,0.0838945360357331,"L","L","LL"
"179","G2601630530500",182,182,13,2896,7,16,2,31,2965,0.141872995378328,0.214530870405453,0.0791808263413009,"L","L","LL"
"180","G2601630530700",183,183,38,2954,12,14,1,30,3049,0.179933933572935,0.226837055423029,0.100423040404221,"L","L","LL"
"181","G2601630530800",184,184,31,3409,3,18,6,24,3491,0.143563651960663,0.301947177492196,0.080124399745751,"L","L","LL"
"182","G2601630531000",185,185,5,1592,1,5,8,17,1628,0.135705363747728,0.302384121662267,0.0757386055876092,"L","L","LL"
"183","G2601630531100",186,186,49,1835,2,6,9,42,1943,0.27952794940598,0.422096715410455,0.156007518981557,"L","M","LM"
"184","G2601630531200",187,187,79,3340,3,17,9,59,3507,0.24781944329997,0.179097909575789,0.138310664771728,"L","L","LL"
"185","G2601630531300",188,188,7,1897,0,4,5,15,1928,0.102389176916709,0.212593828349597,0.0571444876810508,"L","L","LL"
"186","G2601630531400",189,189,8,2470,2,5,1,27,2513,0.105145397549465,0.208033003742039,0.0586827637053117,"L","L","LL"
"187","G2601630531500",190,190,29,4441,6,7,5,56,4544,0.135069170012799,0.173662106780654,0.0753835391036001,"L","L","LL"
"188","G2601630531600",191,191,13,2621,8,30,13,35,2720,0.20967245960619,0.16655250966414,0.117020427801352,"L","L","LL"
"189","G2601630531700",192,192,17,2695,1,8,7,61,2789,0.182486980832938,0.184872707169162,0.101847923210117,"L","L","LL"
"190","G2601630531800",193,193,22,3561,5,12,6,26,3632,0.124173084630434,0.218366140454739,0.0693023180638927,"L","L","LL"
"191","G2601630531900",194,194,61,1881,8,16,3,29,1998,0.295288429951893,0.334093487414774,0.164803610653785,"L","M","LM"
"192","G2601630532200",195,195,48,2194,2,7,3,45,2299,0.234827313877523,0.202683743418014,0.131059619279531,"L","L","LL"
"193","G2601630532300",196,196,169,1115,5,22,2,36,1349,0.611925542608314,0.170915321656364,0.341522147987838,"M","L","ML"
"194","G2601630532400",197,197,108,2150,5,15,8,48,2334,0.362784825538528,0.159086396923047,0.202474066284593,"L","L","LL"
"195","G2601630532500",198,198,165,2782,16,26,4,76,3069,0.414226562507316,0.100997816158516,0.231184246335127,"L","L","LL"
"196","G2601630532600",199,199,373,2796,188,40,6,58,3461,0.701779246955847,0.267906182249371,0.39167045521919,"M","L","ML"
"197","G2601630532700",200,200,15,1744,2,13,4,19,1797,0.173926004052841,0.203962028462779,0.097069951095486,"L","L","LL"
"198","G2601630533000",201,201,83,2396,4,12,3,28,2526,0.255875490096566,0.221172674480565,0.142806830096902,"L","L","LL"
"199","G2601630533100",202,202,12,2449,5,21,4,64,2555,0.219926019347325,0.176504303179309,0.122743048452857,"L","L","LL"
"200","G2601630533200",203,203,13,2992,6,9,2,25,3047,0.114859760209349,0.231534058983432,0.064104452735966,"L","L","LL"
"201","G2601630533300",204,204,49,2912,9,19,7,41,3037,0.227995825890087,0.196792047691605,0.127246893238586,"L","L","LL"
"202","G2601630533400",205,205,33,4478,4,32,11,73,4631,0.187957506017841,0.20856778686281,0.104901081448627,"L","L","LL"
"203","G2601630533500",206,206,5,1969,0,19,4,7,2004,0.108600800281283,0.196915849886597,0.060611260688954,"L","L","LL"
"204","G2601630533600",207,207,17,3929,1,27,8,41,4023,0.140946698684917,0.199482837049808,0.078663850313369,"L","L","LL"
"205","G2601630533700",208,208,14,1865,2,6,2,38,1927,0.177085687331264,0.30009121642388,0.0988334039097103,"L","L","LL"
"206","G2601630534100",209,209,17,2853,6,15,6,42,2939,0.171569104160924,0.213843229667983,0.0957545402200895,"L","L","LL"
"207","G2601630534200",210,210,51,5810,5,50,8,71,5995,0.178134188677478,0.206008195655415,0.0994185836529852,"L","L","LL"
